Make,Model,Class,Prop diameter ,Motor size,Motor kv,Battery Voltage ,Battery mAh,Dry Weight (g),
Iflight,Bumblebee,HD whoop,"3""",1507,2800,6S,850,275,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1117
Iflight,Bumblebee,HD whoop,"3""",1507,3300,4S,1000,275,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1117
Iflight,Bumblebee HD,HD whoop,"3""",1507,2800,6S,850,332,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1116
Iflight,Bumblebee HD,HD whoop,"3""",1507,3300,4S,1000,332,https://www.iflight-rc.com/index.php?route=product/product&path=20_68&product_id=1116
Happymodel,"Larva-X HD 2.5-3""",HD Toothpick,65mm,1203,6200,3S,450,63,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-larva-hd-2-5-2in1-toothpick-drone-choose-your-rx?aff=2 
Happymodel,"Larva-X HD 2.5-3""",HD Toothpick,"3""",1203,6200,2S,450,63,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-larva-hd-2-5-2in1-toothpick-drone-choose-your-rx?aff=2 
Happymodel,Mobula 6 1S Whoop S,Whoop,31mm,0802,19000,1S,300,20,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-mobula-6-1s-micro-whoop-quadcopter-race-or-standard?aff=2 
Happymodel,Mobula 6 1S Whoop R,Whoop,31mm,0802,25000,1S,300,20,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-bnf-mobula-6-1s-micro-whoop-quadcopter-race-or-standard?aff=2 
Happymodel,Mobula 7,Whoop,40mm,0806,16000,2S,250,25.9,https://www.racedayquads.com/collections/pre-built-quads-1/products/mobula7-whoop-basic-standard-kit?aff=2 
Happymodel,Mobula 7 HD,HD Whoop,40mm,1102,9000,3S,300,48,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-mobula7-hd-2-3s-bnf-brushless-whoop-frsky-dsmx-flysky?aff=2 
Happymodel,Larva X,Toothpick,65mm,0802,7000,2S,450,50,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-larva-x-2-3s-bnf-2-5-micro-drone-choose-your-rx?aff=2 
Happymodel,Larva X,Toothpick,65mm,0802,7000,3S,350,50,https://www.racedayquads.com/collections/pre-built-quads-1/products/happymodel-larva-x-2-3s-bnf-2-5-micro-drone-choose-your-rx?aff=2 
Emax,Babyhawk,Whoop,65mm,1104,5250,2S,300,60.3,https://www.getfpv.com/emax-babyhawk-85mm-micro-brushless-fpv-quadcopter-pnp-6221.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Emax,Tinyhawk II,Whoop,40mm,0802,16000,1S,450,31.2,https://www.racedayquads.com/collections/pre-built-quads-1?aff=2 
Emax,Tinyhawk II,Whoop,40mm,0802,16000,2S,300,31.2,https://www.racedayquads.com/collections/pre-built-quads-1?aff=2 
Emax,Tinyhawk S,Whoop,40mm,08025,15500,1S,450,30,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-tinyhawk-s-75mm-bnf-1-2s-racing-whoop-drone-frsky?aff=2 
Emax,Tinyhawk S,Whoop,40mm,08025,15500,2S,300,30,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-tinyhawk-s-75mm-bnf-1-2s-racing-whoop-drone-frsky?aff=2 
Emax,Tinyhawk Freestyle,,65mm,1103,7000,2S,450,46,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-thfs-tinyhawk-freestyle-micro-drone-frsky?aff=2 
Emax,Tinyhawk 75mm,,40mm,08025,15000,1S,450,29,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-tinyhawk-frsky-bnf-75mm-indoor-racing-drone?aff=2 
Emax,Hawkpro II,Racing,"5""",2306,1700,6S,1250,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-hawk-pro-1700kv-frsky?aff=2 
Emax,Hawkpro II,Racing,"5""",2306,2400,4S,1500,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-hawk-pro-1700kv-frsky?aff=2 
Emax,Hawk Sport,Racing,"5""",2207,1700,6S,1250,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-pnp-hawk-sport-2400kv?aff=2 
Emax,Hawk Sport,Racing,"5""",2207,2400,4S,1500,265,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-pnp-hawk-sport-2400kv?aff=2 
Emax,Babyhawk R Pro ,Racing,"4""",1606,3300,4S,1000,150,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-babyhawk-r-4-frsky?aff=2 
Emax,Babyhawk R Pro ,Racing,"4""",1606,3300,5S,850,150,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-babyhawk-r-4-frsky?aff=2 
Emax,Babyhawk R Pro ,Racing,"4""",1606,3300,6S,650,150,https://www.racedayquads.com/collections/pre-built-quads-1/products/emax-bnf-babyhawk-r-4-frsky?aff=2 
Emax,Babyhawk R ,,"2""",1106,6000,3S,450,82.5,
Emax,Babyhawk R ,,"2""",1106,6000,4S,450,82.5,
Emax,Buzz,Freestyle,"5""",2306,2400,4S,1500,358,https://www.racedayquads.com/collections/pre-built-quads-1/products/pre-order-emax-buzz-5-rtf-freestyle-drone-2400kv?aff=2 
Emax,Buzz,Freestyle,"5""",2306,1700,6S,1250,356,https://www.racedayquads.com/collections/pre-built-quads-1/products/pre-order-emax-buzz-5-rtf-freestyle-drone-2400kv?aff=2 
Holybro,Kopis 2 HDV,HD Racing,"5""",2207,1750,6S,1250,336,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-bnf-kopis-2-hdv-5-racing-drone-with-or-without-air-unit?aff=2 
Holybro,Kopis 2 ,Racing,"5""",2207,1750,6S,1250,325,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-pnp-kopis-2-6s-5-racing-drone?aff=2 
Holybro,Kopis CineWhoop,Cinewhoop,"3""",1507,3800,4S,1000,274,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-bnf-kopis-cinewhoop-3-drone-for-dji-with-or-without-air-unit?aff=2 
Holybro,Kopis 2 SE,Racing,"5""",2306,2400,4S,1500,299,https://www.racedayquads.com/collections/pre-built-quads-1/products/holybro-kopis-2-pnp-fpv-racing-drone-5?aff=2 
GEPRC,Elegant,Freestyle,"5""",2306,2450,4S,1500,348,https://geprc.com/product/gep-elegant-pnp/
GEPRC,Pika,Racing,"5""",2306,2450,4S,1500,320,https://geprc.com/product/gep-pika-pnp/
GEPRC,Dolphin,Racing,"4""",1507,3600,4S,850,136,https://geprc.com/product/dolphin-toothpick-drone-4inch/
GEPRC,CineRun HD3,Cinewhoop,"3""",1404,3850,4S,850,203,https://geprc.com/product/cinerun-hd3-dji-air-unit-for-cinewhoop-hd-fpv/
GEPRC,CineRun HD3,Freestyle,"3""",1507,3600,4S,850,200,https://geprc.com/product/run-hd3-dji-air-unit-for-freestyle-hd-fpv/
GEPRC,CinePro 4K F7,Cinewhoop,"2""",1105,5000,4S,650,125,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-cinepro-4k-f7-bnf-cinewhoop-choose-your-rx?aff=2 
GEPRC,CinePro 4K ,Cinewhoop,"2""",1105,5000,4S,650,99,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-cinepro-4k-f7-bnf-cinewhoop-choose-your-rx?aff=2 
GEPRC,CineEye,Cinewhoop,40mm,1102,10000,3S,300,60,https://geprc.com/product/cineeye-hd-cinewhoop-drone/
GEPRC,CineQueen 4K,Cinewhoop,"3""",1206,3600,4S,850,156,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-bnf-cinequeen-4k-3-micro-cinewhoop-w-runcam-hybrid-choose-your-rx?aff=2 
GEPRC,CineKing,Cinewhoop,"2""",1103,8000,2S,650,88,https://geprc.com/product-category/drones/?fbclid=IwAR3YxB5440ij0xfZT4l4u_e5BGhakCufVjcRtfn4iwf2TYNn4abNV6jmOLE
GEPRC,CineKing,Cinewhoop,"2""",1105,5000,3S,550,99,https://geprc.com/product-category/drones/?fbclid=IwAR3YxB5440ij0xfZT4l4u_e5BGhakCufVjcRtfn4iwf2TYNn4abNV6jmOLE
GEPRC,CineKing,Cinewhoop,"2""",1105,5000,4S,450,99,https://geprc.com/product-category/drones/?fbclid=IwAR3YxB5440ij0xfZT4l4u_e5BGhakCufVjcRtfn4iwf2TYNn4abNV6jmOLE
GEPRC,Phantom,Freestyle,65mm,1103,8000,2S,450,51,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-phantom-bnf-micro-quad-choose-your-rx?aff=2 
GEPRC,Phantom,Freestyle,65mm,1103,8000,3S,300,51,https://www.racedayquads.com/collections/pre-built-quads-1/products/geprc-phantom-bnf-micro-quad-choose-your-rx?aff=2 
GEPRC,Gep - MX3,Racing,"3""",1408,3500,4S,450,141.8,https://geprc.com/product/geprc-gep-mx3-pnpbnf/
GEPRC,Gep - MX3,Racing,"3""",1408,3500,3S,550,141.8,https://geprc.com/product/geprc-gep-mx3-pnpbnf/
GEPRC,Hummingbird,Racing,"2""",1106,6000,4S,450,85,https://geprc.com/product/geprc-hummingbird-pnp/
GEPRC,Sparrow,Racing,"3""",1408,3750,4S,450,154.4,https://geprc.com/product/gep-sparrow-v2-pnp/
GEPRC,Skip HD 2.5,Freestyle,65mm,1202,8000,3S,450,63,https://geprc.com/product/skip-hd-2-5-toothpick-drone/
GEPRC,Skip HD 3,Freestyle,"3""",1105,5000,3S,450,72,https://geprc.com/product/skip-hd-3-toothpick-drone/
GEPRC,Skip HD 3,Freestyle,"3""",1105,5000,4S,450,72,https://geprc.com/product/skip-hd-3-toothpick-drone/
GEPRC,Mark4 4K,Freestyle,"5""",2306,1650,6S,1250,381,https://geprc.com/product/mark4-4k-tarsier-v2/
GEPRC,Mark4 4K,Freestyle,"5""",2306,2450,4S,1500,381,https://geprc.com/product/mark4-4k-tarsier-v2/
GEPRC,Mark4 HD5 DJI,Freestyle,"5""",2306,1650,6S,1250,400,https://geprc.com/product/mark4-hd5-dji-fpv-hd/
GEPRC,Mark4 HD5 DJI,Freestyle,"5""",2306,2450,4S,1500,400,https://geprc.com/product/mark4-hd5-dji-fpv-hd/
GEPRC,Mark3,Racing,"5""",2207.5,2400,4S,1500,321,https://geprc.com/product/gep-mark3-bnfpnp/
GEPRC,Mark2,Freestyle,"5""",2207,2400,4S,1500,330,https://geprc.com/product/gep-mark2-pnp/
GEPRC,Phoenix,Racing,65mm,1106,4500,4S,450,94,https://geprc.com/product/gep-phoenix-bnf/
GEPRC,Phoenix3,Racing,"3""",1206,4500,3S,550,104.2,https://geprc.com/product/gep-px-phoenix3/
GEPRC,Cygnet2 1080p,Freestyle,"2""",1106,6000,2S,600,123,https://geprc.com/product/gep-cygnet2-1080pp/
GEPRC,Cygnet3 Pro 1080p,Freestyle,"3""",1507,3600,4S,850,168,https://geprc.com/product/gep-cygnet3-pro-1080p-2/
GEPRC,Cygnet3,Freestyle,"3""",1206,4500,4S,650,131,https://geprc.com/product/gep-cygnet-3/
GEPRC,Cygnet3,Freestyle,"3""",1206,4500,3S,850,131,https://geprc.com/product/gep-cygnet-3/
GEPRC,Crocodile 7 Pro,Long Range,"7""",2306,1600,6S,2800,460,https://geprc.com/product/gep-crocodile-7-pro/
GEPRC,Crocodile 7 1080p,Long Range,"7""",2306,1600,6S,2800,460,https://geprc.com/product/gep-crocodile-7-1080p/
T - Motor,F15 Toothpick,Toothpick,"3""",1106,4500,3S,450,67,https://www.racedayquads.com/collections/pre-built-quads-1/products/t-motor-pnp-f15-3-toothpick-micro-drone?aff=2 
T - Motor,F15 Toothpick,Toothpick,"3""",1106,4500,4S,350,67,https://www.racedayquads.com/collections/pre-built-quads-1/products/t-motor-pnp-f15-3-toothpick-micro-drone?aff=2 
HGLRC,BATMAN220 220MM,,"5""",2306,2450,4S,1500,306,https://www.racedayquads.com/collections/pre-built-quads-1/products/hglrc-batman220-220mm-fpv-racing-drone-pnp?aff=2 
HGLRC,XJB V2,,"3""",1407,3600,4S,650,200,https://www.getfpv.com/hglrc-xjb-v2-38a-145mm-pnp-mini-quadcopter-purple.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
NamelessRC,N47 HD,HD Toothpick,65mm,1103,8000,2S,520,48,https://www.racedayquads.com/collections/pre-built-quads-1/products/namelessrc-bnf-n47-hd-2-5-toothpick-micro-quad-w-caddx-baby-turtle-choose-your-rx?aff=2 
NamelessRC,N47 HD,HD Toothpick,65mm,1103,8000,3S,450,48,https://www.racedayquads.com/collections/pre-built-quads-1/products/namelessrc-bnf-n47-hd-2-5-toothpick-micro-quad-w-caddx-baby-turtle-choose-your-rx?aff=2 
NamelessRC,N47 ,Toothpick,65mm,1103,8000,2S,520,42,https://www.racedayquads.com/collections/pre-built-quads-1/products/namelessrc-bnf-n47-2-5-toothpick-micro-quad-choose-your-rx?aff=2 
NamelessRC,N47,Toothpick,65mm,1103,8000,3S,450,42,https://www.racedayquads.com/collections/pre-built-quads-1/products/namelessrc-bnf-n47-2-5-toothpick-micro-quad-choose-your-rx?aff=2 
Lumenier,QAV- R 2 HD,HD Freestyle,"5""",2207,2450,4S,1500,410,https://www.getfpv.com/lumenier-qav-r-2-rtf-with-dji-hd-fpv-system-quad-only.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Lumenier,QAV- R 2,Freestyle,"5""",2407,2550,4S,1500,390,https://www.getfpv.com/lumenier-qav-r-2-freestyle-quadcopter-rtf.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Lumenier,QAV - XS,Racing,"5""",2206-9,2450,4S,1300,295,https://www.getfpv.com/qav-xs-stretch-rtf-w-frsky-rx.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Lumenier,Xilo Phreakstyle HD,HD Freestyle,"5""",2205,1750,6S,1250,390,https://www.getfpv.com/xilo-phreakstyle-6s-quadcopter-rtf-w-dji-digital-hd-fpv-system-quad-only.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Lumenier,Xilo Phreakstyle slam,Freestyle,"5""",2205,1750,6S,1250,340,https://www.getfpv.com/xilo-phreakstyle-slam-6s-freestyle-quadcopter-rtf.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Lumenier,Xilo Phreak ,Racing,"5""",2207,2550,4S,1500,300,https://www.getfpv.com/xilo-phreak-fpv-racing-quadcopter-rtf-7692.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Ummagawd,Acrobrat Duo,Freestyle,"3""",1507,3800,3S,850,210,https://www.getfpv.com/acrobrat-fpvcrate-limited-edition-3-rtf.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Ummagawd,Acrobrat Duo,Freestyle,"3""",1507,3800,4S,850,194,https://www.getfpv.com/acrobrat-fpvcrate-limited-edition-3-rtf.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
IRC,Vortex 150 pro,Freestyle,"3""",1306,3200,4S,450,171,https://www.getfpv.com/immersionrc-vortex-150-pro-pnp-basic-us-edition.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
IRC,Vortex 180 mini,Freestyle,"4""",1407,3500,4S,450,202,https://www.getfpv.com/vortex-180-mini-us-version.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
DYS,Shark Mako,Whoop,"2""",1104,5400,3S,600,93,https://www.getfpv.com/dys-shark-mako-brushless-fpv-micro-drone-rtf-frsky-gray.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
TBS,Oblivion,Racing,"5""",2205,2400,4S,1500,315,https://www.getfpv.com/tbs-oblivion-pnp.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
TBS,Source 1,Freestyle,"5""",2207,1700,6S,1250,378,https://www.getfpv.com/tbs-source-one-quadcopter-rtf-1700kv-2400kv.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
TBS,Source 1,Freestyle,"5""",2207,2400,4S,1500,378,https://www.getfpv.com/tbs-source-one-quadcopter-rtf-1700kv-2400kv.html?cmid=eHZ3Y2tBWGYrQWM9&afid=bXNoK0JSMUViaGc9&ats=ZFNOTFdoUEM1V2s9
Ciotti,Acrobrat v1,Freestyle,"3""",1606,4000,4s,850,290,www.YouTube.com/CiottiFPV
Ciotti,Acrobrat Duo,Freestyle,"3""",1505?,3600kv?,6s?,550,,www.YouTube.com/CiottiFPV
Ciotti,"Prototype CiottiFPV 3"" frame",Freestyle,"3""",1306,4000,4s,450,210,www.YouTube.com/CiottiFPV
Ciotti,Rotorious CB2.5,Freestyle,"2.5""",1304,5000,4s,450,180,www.YouTube.com/CiottiFPV
CMW,Tasmanian V2,Beast Class,"13""",4715,360,12S,6000,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/tasmanian-v1-bnf-xclass-or-beast-class?aff=2
CMW,Raging Droner,Racing,"5""",2207,1750,6S,1250,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/6s-raging-droner-premium-5-bnf?aff=2
CMW,Smooth operator,Freestyle,"5""",2306.5,188-,6S,1250,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/smooth-operator-5-bnf-6s-voltage?aff=2
CMW,Slam Nasty,Racing,"3""",1408,4100,4S,1000,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/slamnasty-3-bnf-premium-4s-rocket?aff=2
CMW,Razorback,Racing,"5""",2207.5,1750,6S,1250,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/6s-merica-premium-5-bnf-razorback-edition?aff=2
CMW,BangGod,Freestyle,"6""",2207.5,1500,6S,1500,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/banggod-6-bnf-6s-voltage?aff=2
CMW,BangGod DJI,Freestyle,"5""",2207,1900,6S,1250,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/banggod-5-w-dji-fpv-system-as-seen-on-uav-futures?aff=2
CMW,BangGod,Long Range,"7""",2806.5,1300,6S,2800,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/banggod-7-long-range-6s-bnf?aff=2
CMW,Slam Nasty,Racing,"5""",2207,1750,6S,1250,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/6s-superslamnasty-5-bnf-bh-2207-1750kv?aff=2
CMW,Massive Droner,Racing,"2.5""",1106,6000,3S,650,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/massive-droner-2-5-bnf-2?aff=2
CMW,Massive Droner,Racing,"3""",1606,4000,4S,850,,https://www.catalystmachineworks.com/collections/rtf-bnf-systems/products/more-massive-droner-3-bnf-eagle-camera-1407-4200kv-motors?aff=2